name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,search_city
The Happy Catering Co,"225 Oxmoor Cir #803, Homewood, AL 35209, United States",happycatering.net,+1 205-251-8925,251,4.8,No,No,No,Caterer, · Closes 5PM,None Found,Birmingham
"MOOYAH Burgers, Fries & Shakes","2112 7th Ave S, Birmingham, AL 35233, United States",mooyah.com,+1 205-224-5644,1679,4.3,No,No,Yes,Hamburger restaurant, · Closes 8PM,"Counter-serve chain for custom burgers, including poultry & veggie versions, plus fries & shakes.",Birmingham
Dos Hermanos (Taco Truck),"221 W Valley Ave, Birmingham, AL 35209, United States",facebook.com,,631,4.8,No,No,Yes,Mexican restaurant, · Closes 1:30PM,None Found,Birmingham
Hollywood grill food truck,"Birmingham, AL 35221, United States",,+1 205-580-3140,26,4.3,No,No,Yes,Restaurant,,None Found,Birmingham
Mezon Food Truck,"2902 4th Ave S, Birmingham, AL 35233, United States",facebook.com,+1 205-207-8484,35,4.7,No,No,Yes,Restaurant, · Opens 4PM,None Found,Birmingham
Los Valedores Restaurant,"302 Columbiana Rd, Homewood, AL 35209, United States",thebluetruckbham.com,+1 205-460-6517,664,4.6,No,No,Yes,Mexican restaurant, · Closes 11PM,None Found,Birmingham
Aww Shucks LLC,"4120 Messer Airport Hwy, Birmingham, AL 35222, United States",awwshucks.online,+1 205-346-1999,335,4.8,No,Yes,Yes,Restaurant,Open · Closes 5:30PM,None Found,Birmingham
MR TACO TRUCK 2,"5965 N Chalkville Rd, Birmingham, AL 35235, United States",mobile-webview8.com,+1 205-207-4611,100,4.7,No,No,Yes,Mexican torta restaurant, · Closes 8PM,None Found,Birmingham
You Taco,"700 Valley Ave, Birmingham, AL 35209, United States",,+1 205-516-1257,92,4.8,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Birmingham
Travis Chicago Style,"200 41st St S, Birmingham, AL 35222, United States",,+1 205-223-7499,153,4.7,No,Yes,Yes,Hamburger restaurant, · Opens 7PM,None Found,Birmingham
Funky Forte Food Truck,"410 Clayton St, Montgomery, AL 36104, United States",facebook.com,,18,4.7,No,No,No,Mobile caterer, · Closes 2PM,None Found,Montgomery
Potz & Panz Gourmet Cafe Catering LLC,"2547 Lower Wetumpka Rd, Montgomery, AL 36110, United States",potzandpanzgourmetcafe.com,+1 334-676-3343,216,4.4,No,Yes,Yes,Soul food restaurant,Open · Closes 2PM,None Found,Montgomery
Bayou Turkey,"3848 Harrison Rd, Montgomery, AL 36109, United States",facebook.com,,35,4.8,No,No,No,Restaurant, · Closes 8PM,None Found,Montgomery
Moore's Tasty Food,"4000 Eastdale Cir, Montgomery, AL 36117, United States",,+1 334-451-9871,12,4.8,No,No,No,Food producer, · Closes 5PM,None Found,Montgomery
"Vicki's Lunch Van, LLC.","106 Coliseum Blvd, Montgomery, AL 36109, United States",vickislunchvan.com,,1011,4.8,No,No,Yes,Hamburger restaurant, · Closes 2PM,None Found,Montgomery
Yaadbak International Eatery,"222 W Fred D Gray Ave, Montgomery, AL 36104, United States",instagram.com,+1 334-356-1072,356,4.5,No,No,Yes,Jamaican restaurant,Open · Closes 6PM,None Found,Montgomery
Fire Meats Wood,,firemeatswood.com,+1 334-440-6499,38,4.4,No,No,No,Catering food and drink supplier, · 1PM · Opens 11AM Tue,None Found,Montgomery
WhoHungry?,,,+1 334-221-1805,2,5.0,No,No,No,Mobile caterer,,None Found,Montgomery
The Fiery Fowl Food Truck,,thefieryfowl.com,+1 334-704-5031,53,4.6,No,No,No,Mobile caterer,Closed · Opens 12PM Sat,None Found,Montgomery
Thats My Dog Jr,"2414 Lower Wetumpka Rd, Montgomery, AL 36110, United States",thatsmychildmgm.org,+1 334-593-1522,74,4.7,No,No,Yes,Restaurant, · Opens 11AM Mon,None Found,Montgomery
QUEENZ CARNIVAL STOP,"2413 E South Blvd, Montgomery, AL 36116, United States",,+1 334-538-4179,11,4.5,No,No,Yes,Family restaurant, · Opens 2PM,None Found,Montgomery
Fat Man's Smokehouse BBQ,"1660 Federal Dr, Montgomery, AL 36109, United States",,+1 334-396-9501,899,4.6,No,No,Yes,Barbecue restaurant, · Closes 2PM,None Found,Montgomery
Taqueria El Campesino,"1550 Mt Meigs Rd, Montgomery, AL 36107, United States",taqueriaelcampesino.toast.site,+1 334-312-5194,820,4.3,No,No,No,Mexican restaurant, · Closes 9PM,None Found,Montgomery
Chill Out Ice Cream Treats,,chillouticecreamtruck.com,+1 205-515-8624,26,5.0,No,No,No,Mobile caterer,,None Found,Montgomery
Baama Adda,"843 Taylor Rd, Montgomery, AL 36117, United States",baama-adda.lovable.app,+1 334-921-3011,21,4.1,No,No,No,Mobile caterer, · Opens 6PM,None Found,Montgomery
Plant Bae,"175 Lee St, Montgomery, AL 36104, United States",plantbae.net,+1 334-676-2961,796,4.5,No,Yes,Yes,Vegan restaurant,Open · Closes 7PM,"Modest restaurant whipping up plant-based comfort foods including burgers, nachos, subs & wings.",Montgomery
"Tops Food Truck, LLC","420 Holcombe Ave, Mobile, AL 36606, United States",topsfoodtruck.wixsite.com,+1 251-610-3729,91,4.7,No,No,Yes,Food court, · Closes 5PM,None Found,Mobile
Smokin' Gringos taco truck catering,"10 Springdale Blvd, Mobile, AL 36606, United States",smokin-gringos.square.site,+1 251-458-6890,10,4.9,No,No,No,Caterer,,None Found,Mobile
Front Yard Tacos,"306 St Anthony St, Mobile, AL 36603, United States",toasttab.com,+1 251-287-1379,165,4.7,No,No,Yes,Restaurant, · Closes 2PM,None Found,Mobile
Soul Heaven Cafe & Catering,"7850 Tanner Williams Rd, Mobile, AL 36608, United States",soulheavencafe.menufy.com,+1 251-465-4247,293,4.1,No,No,Yes,Restaurant, · Closes 8PM,None Found,Mobile
My Brothers and Me,"6st S Broad St, Mobile, AL 36615, United States",,+1 251-237-1230,23,4.8,No,No,Yes,American restaurant, · 1PM · Opens 6:30AM Mon,None Found,Mobile
Reney’s Honey Butter,"8521 Grelot Rd, Mobile, AL 36695, United States",reneyshoneybutter.com,+1 251-516-2229,87,4.9,No,No,Yes,Food producer,Open · Closes 2PM,None Found,Mobile
Los Rollin’ Bros food truck & catering,"6302 Aaron Dr S, Mobile, AL 36608, United States",,+1 251-391-3510,7,4.4,No,No,No,Mobile caterer,,None Found,Mobile
Bienville Bites Food Tour,"107 St Francis St, Mobile, AL 36602, United States",bienvillebitesfoodtour.com,+1 251-622-4041,214,4.9,No,No,No,Tour operator, · Closes 4PM,None Found,Mobile
Box Owt Outdoor Food Court,"263 Dauphin St, Mobile, AL 36602, United States",boxowt.com,,31,4.1,No,No,Yes,Family restaurant, · Closes 1:30AM,None Found,Mobile
Parc Le Tralour- Food Hall & Event Space,"107 St Francis St UNIT 115, Mobile, AL 36602, United States",pltfoodhall.com,+1 251-205-5310,38,4.7,No,No,Yes,Restaurant, · Closes 2PM,None Found,Mobile
Food Truck Frenzy,,,+1 251-620-9282,4,4.0,No,No,No,Food producer, · Closes 5PM,None Found,Mobile
Loda Bier Garten,"251 Dauphin St, Mobile, AL 36602, United States",lodabeer.com,+1 251-287-6871,3378,4.3,No,No,Yes,Restaurant, · Closes 2AM,"Convivial watering hole offering 100+ beers, plus ample portions of American & German comfort food.",Mobile
Loda Bier Garten,"251 Dauphin St, Mobile, AL 36602, United States",,+1 251-301-1047,3,5.0,No,No,Yes,Fast food restaurant, · Closes 2PM,None Found,Mobile
TH station,"Mobile, AL 36615, United States",,+1 251-301-1047,3,5.0,No,No,Yes,Fast food restaurant, · Closes 2PM,None Found,Mobile
"Money's Grill, LLC","110 Kirkland St, Abbeville, AL 36310, United States",,+1 334-585-3453,64,4.5,No,Yes,Yes,Restaurant, · Closes 2PM · Reopens 4PM,None Found,Abbeville
"Money's Grill, LLC","110 Kirkland St, Abbeville, AL 36310, United States",,+1 334-585-0606,265,4.9,No,No,Yes,Restaurant, · Closes 2PM,"Fast-casual chain restaurant serving classic favorites like burgers, fries, shakes & more.",Abbeville
Ruby's,"512 Kirkland St, Abbeville, AL 36310, United States",rubys.placeid.site,+1 334-585-0606,265,4.9,No,No,Yes,Restaurant, · Closes 2PM,"Fast-casual chain restaurant serving classic favorites like burgers, fries, shakes & more.",Abbeville
Nannie Mae's Bar-B-Q & More,"101 Columbia Rd, Abbeville, AL 36310, United States",facebook.com,+1 334-575-5251,12,4.7,No,Yes,Yes,Barbecue restaurant, · Closes 7PM,None Found,Abbeville
Todd’s Place,"14315 AL-95, Abbeville, AL 36310, United States",,+1 334-689-3934,49,4.6,No,No,Yes,American restaurant, · Closes 10PM,None Found,Abbeville
Faith Kitchen-Adamsville,"3605 Gray Ave, Adamsville, AL 35005, United States",,+1 205-390-9180,41,4.7,No,No,Yes,Restaurant, · Closes 6:30PM,None Found,Adamsville
Nacho's Mexican Food Truck,"5830 University Dr, Huntsville, AL 35806, United States",,+1 256-843-0835,257,4.8,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Huntsville
Henry's Family Farm Food Truck,"5909 University Dr, Huntsville, AL 35806, United States",,,1,5.0,No,No,No,Restaurant,,None Found,Huntsville
Food Traffik (Food Truck),"D1, 6614 Alabama Hwy 69 S, Tuscaloosa, AL 35405, United States",,,1,5.0,No,No,No,Fast food restaurant,,None Found,Tuscaloosa
Some to Eat Food Truck,"Alabama Hwy 69 S, Tuscaloosa, AL 35405, United States",facebook.com,+1 205-826-1624,2,4.0,No,No,Yes,Restaurant,,None Found,Tuscaloosa
Catch a Taste Food Truck,,catchataste.square.site,+1 205-292-5115,16,3.5,No,No,No,Food producer,,None Found,Tuscaloosa
Bama Flava,"3053 Dragons Ln, Tuscaloosa, AL 35401, United States",bamaflava.com,+1 205-765-0735,14,4.6,No,No,Yes,Restaurant,,None Found,Tuscaloosa
Big Tasty Food Truck,,big-tasty.ueniweb.com,+1 205-394-2024,13,3.8,No,No,No,Mobile caterer, · Closes 5PM,None Found,Tuscaloosa
Flavaz Restaurant,"9770 Alabama Hwy 69 S h, Tuscaloosa, AL 35405, United States",,+1 205-737-7090,649,4.6,No,No,Yes,Soul food restaurant, · Closes 8PM,None Found,Tuscaloosa
Billy's Cooking LLC,,billyscookingllc.com,+1 205-799-4054,6,4.8,No,No,No,Mobile caterer,,None Found,Tuscaloosa
King's Kitchen,"501 Hargrove E Rd, Tuscaloosa, AL 35401, United States",kingskitchenal.com,+1 205-409-8919,329,4.5,No,No,Yes,Restaurant, · Closes 6PM,None Found,Tuscaloosa
Antojitos Izcalli - Authentic Méxican Restaurant,"623 Hargrove E Rd, Tuscaloosa, AL 35401, United States",m.facebook.com,+1 205-331-4226,870,4.7,No,No,Yes,Mexican restaurant, · Closes 11PM,"Modest setup for traditional Mexican street eats with a condiment bar, limited seating & takeout.",Tuscaloosa
Wrap It Up Catering,"3510 Loop Rd, Tuscaloosa, AL 35404, United States",,+1 205-872-9727,6,4.5,No,No,No,Caterer, · Closes 7PM,None Found,Tuscaloosa
Greek Street Dothan Food Truck,"Ross Clark Cir, Dothan, AL 36301, United States",facebook.com,+1 334-458-4976,57,4.7,No,No,No,Mobile caterer,,None Found,Akron
Tha Food Truck,"1158 Wall Triana Hwy SW A, Madison, AL 35756, United States",thafoodtruck.com,+1 256-721-2221,10,3.4,No,No,No,Mobile caterer,,None Found,Akron
Flippin Filipino,"211 SE Taylor Rd, Owens Cross Roads, AL 35763, United States",flippinfilipino.net,+1 205-482-5061,19,4.7,No,Yes,Yes,Chicken restaurant, · Closes 3PM,None Found,Akron
Chuck Wagon Enterprise Food Truck,"Boll Weevil Cir, Enterprise, AL 36330, United States",chuckwagonenterprise.square.site,+1 334-330-0125,1,5.0,No,Yes,Yes,Restaurant,,None Found,Akron
Taqueria El Camioncito,"4066 AL-25, Montevallo, AL 35115, United States",taqueriaelcamioncitoal.com,+1 205-319-0187,107,4.3,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Akron
Ali Basha,"101 Walker Chapel Rd, Fultondale, AL 35068, United States",,+1 205-203-5692,37,4.6,No,No,No,Restaurant, · Closes 7PM,None Found,Akron
Drive-by Tacos Food Truck & Catering LLC,,drivebytacos.com,,2,3.0,No,No,No,Mobile caterer,,None Found,Akron
Lil bougie foodie,,lilbougiefoodie.com,+1 205-266-2587,7,4.3,No,No,No,Catering food and drink supplier,,None Found,Akron
The Happy Catering Co,"225 Oxmoor Cir #803, Homewood, AL 35209, United States",ordertaqueriacharros.com,+1 205-747-9332,113,4.5,No,No,Yes,Mexican restaurant, · Closes 8PM,None Found,Hoover
Taquería Juarez,"3447 Lorna Rd Hoover, Birmingham, AL 35216, United States",,+1 205-381-2433,454,4.6,No,No,Yes,Taco restaurant, · Closes 10PM,None Found,Hoover
Taqueria el Rosario,"4995 us 280 hoover, 4995 US-280, Birmingham, AL 35242, United States",,+1 205-821-0793,75,4.6,No,Yes,Yes,Mexican restaurant, · Closes 8:45PM,None Found,Hoover
Los Tan Chingones Birrieria Y Taquería,"3041 John Hawkins Pkwy, Hoover, AL 35244, United States",facebook.com,+1 205-771-2764,87,4.5,No,No,Yes,Taco restaurant, · Closes 10PM,None Found,Hoover
El Taco Kitchen (Food Truck),"3320 Lorna Rd, Hoover, AL 35216, Hoover, AL 35244, United States",instagram.com,,6,5.0,No,No,No,,,None Found,Hoover
Drive-by Tacos Food Truck & Catering LLC,,drivebytacos.com,,2,3.0,No,No,No,Mobile caterer,,None Found,Auburn
Hibachi On Wheels,,hibachionwheelscatering.com,+1 706-888-0577,13,4.7,No,No,No,Mobile caterer, · Closes 6PM,None Found,Auburn
Let's Shake On It Milkshakes,,letsshakeonitmilkshakes.com,+1 334-214-1254,41,4.9,No,No,No,Mobile caterer, · Closes 9PM,None Found,Auburn
Mama's Last Stand,"1120 S College St, Auburn, AL 36832, United States",mamaslaststand.com,+1 334-663-8548,4,5.0,No,No,No,Catering food and drink supplier,,None Found,Auburn
foosackly's - Auburn,"131 N Dean Rd, Auburn, AL 36830, United States",foosacklys.net,+1 334-209-1506,577,4.7,No,No,Yes,Restaurant, · Closes 10PM,"Low-key local fast-food chain serving chicken fingers in boxes, on sandwiches & in salads.",Auburn
Niffer's Place Auburn,"1151 Opelika Rd, Auburn, AL 36830, United States",niffersplace.com,+1 334-821-3118,2163,4.6,No,Yes,Yes,Restaurant,Open · Closes 9PM,"Local staple known for corn nuggets, burgers, ""fishbowl"" drinks & game nights in lively digs.",Auburn
Grandma Val’s Lemonade & More LLC,"3010 Martin Luther King Dr, Auburn, AL 36832, United States",gmavalslemonade.com,+1 706-402-5010,17,4.6,No,No,Yes,Catering food and drink supplier,,None Found,Auburn
Tacorita,"155 N College St, Auburn, AL 36830, United States",auburntacorita.com,,521,4.3,No,No,Yes,Taco restaurant, · Closes 10PM,"Contemporary tavern featuring Mexican/American grub with a twist, plus a long bar for cocktails.",Auburn
Thirsty Pig Craft BeerTaproom and BBQ Food Truck,"257 S St Andrews St, Dothan, AL 36301, United States",beathirstypig.com,+1 334-699-2571,338,4.8,No,No,Yes,Pub, · Opens 3PM,None Found,Dothan
Greek Street Dothan Food Truck,"Ross Clark Cir, Dothan, AL 36301, United States",facebook.com,+1 334-458-4976,57,4.7,No,No,No,Mobile caterer,,None Found,Dothan
Dawgs N Thangs,"2185 Reeves St, Dothan, AL 36303, United States",dawgznthangs.com,+1 334-661-6949,25,4.8,No,No,Yes,American restaurant,,None Found,Dothan
Tacos El Tio,"693 1st St SW, Alabaster, AL 35007, United States",,+1 205-436-1853,78.0,4.7,No,No,Yes,Taco restaurant, · Closes 9PM,None Found,Alabaster
Chubbfathers,"229 Kent Stone Blvd, Alabaster, AL 35007, United States",thechubbfather.com,+1 205-685-0950,1737.0,4.7,No,Yes,Yes,Restaurant, · Closes 9PM,None Found,Alabaster
Chubbfathers,"229 Kent Stone Blvd, Alabaster, AL 35007, United States",,+1 205-830-2087,20.0,4.8,No,No,No,Taco restaurant, · Closes 11PM,None Found,Alabaster
Taqueria Los Guerreros Grill,"718 1st St N, Alabaster, AL 35007, United States",instagram.com,+1 205-492-1438,16.0,4.9,No,No,Yes,Mexican restaurant, · Closes 9:30PM,None Found,Alabaster
Heybebe Food Truck,,heybebefoodtruck.com,+1 504-905-4458,21.0,4.6,No,No,No,Food producer, · Closes 2PM · Reopens 5PM,None Found,Alabaster
